street,lon,lat
"Ivana Bukovčana, Bratislava",16.9798542,48.2078309
"Červeňova, Bratislava",NA,NA
"Ďatelinova, Bratislava",NA,NA
"Kukučínová, Bratislava",NA,NA
"Popradská, Bratislava",17.1936338,48.13809750000001
"Brečtanová, Bratislava",NA,NA
"Čilížska, Bratislava",NA,NA
"Sklabinská, Bratislava",NA,NA
"Nábrežie generála L. Svobodu, Bratislava",17.0968033,48.1396418
"Dlhé diely I., Bratislava",17.0518442,48.1591643
"Kalinčiaková, Bratislava",17.1343234,48.1608305
"Hrachova, Bratislava",NA,NA
"Kramáre-Na Revíne, Bratislava",NA,NA
"Na križovatkách, Bratislava",17.1707334,48.1686103
"Gabčíkova, Bratislava",17.0581642,48.1504743
"Kvetná, Bratislava",17.1328323,48.1531996
"Vavilovova, Bratislava",17.113844,48.1270321
"Slávičie údolie, Bratislava",17.0833048,48.15243890000001
"Mesačná, Bratislava",17.1666322,48.1633657
"Kadnárová, Bratislava",17.1431757,48.2007051
"Letná, Bratislava",17.1322835,48.1709091
"Smolenická, Bratislava",17.1009578,48.1098927
"Sabinovska, Bratislava",17.1489037,48.1600513
"Ipelská, Bratislava",17.2119168,48.1359576
"Lenardova, Bratislava",17.0975861,48.1284968
"Krasňany, Bratislava",17.1403591,48.1966579
"Klenova, Bratislava",17.0896258,48.1721602
"Alžbety Gwerkovej, Bratislava",17.1272996,48.1196187
"Koreničova, Bratislava",17.0978191,48.14478769999999
"Ožvoldíkova, Bratislava",17.030982,48.1930068
"Adámiho, Bratislava",17.0565229,48.1525524
"Senická, Bratislava",17.0784434,48.1646186
"Plickova, Bratislava",17.1490886,48.2097665
"Kremencová, Bratislava",16.9789584,48.2200305
"Repašského, Bratislava",17.0334897,48.1899017
"Okánikova, Bratislava",NA,NA
"Koprivnická, Bratislava",17.0314521,48.1848614
"Jelenia, Bratislava",17.1113531,48.1573298
"Palárikova, Bratislava",17.1113531,48.1573298
"Jégeho, Bratislava",17.1348342,48.1572261
"Nám. Martina Benku, Bratislava",17.122771,48.15319119999999
"Konventná, Bratislava",17.104506,48.1470692
"Gogoľova, Bratislava",17.0923707,48.1213878
"Trnávka- s GARÁŽOVÝM  STÁTÍM v cene, Bratislava",17.1689349,48.1719486
"Uzbecká s balkónom a lodžiou, Bratislava",17.2069541,48.1346403
"Tabaková, Bratislava",17.1170322,48.15605559999999
"Hronska, Bratislava",17.2105548,48.1341737
"Šuňavcova, Bratislava",17.1222009,48.1636866
"Betliarska, Bratislava",17.1207072,48.0993573
"Hodálova, Bratislava",17.055353,48.1530948
"Vranovská, Bratislava",17.0935643,48.1242384
"Mikulášska, Bratislava",NA,NA
"Bartókova, Bratislava",17.085901,48.1530717
"Východná, Bratislava",17.1784189,48.1963241
