balcony,price,no_of_bedrooms,basement,street,size,elevator,district,floor,material,status
Yes,156000,2,Yes,Kresánkova,88,Yes,karlova_ves,other,brick,refurbished
Yes,123000,2,Yes,Drobného,67,Yes,dubravka,top,panel,refurbished
Yes,125000,2,Yes,Družstevná,59,Yes,nove_mesto,bottom,brick,old
Yes,328000,4,Yes,Rozvodná 9a,140,Yes,nove_mesto,other,brick,refurbished
Yes,268000,4,No,Trnavská cesta,122,Yes,ruzinov,other,brick,partial_refurbishment
No,145000,3,Yes,Stromova 10,63,Yes,nove_mesto,bottom,panel,refurbished
No,338000,3,Yes,Jakubovo námestie,126,Yes,stare_mesto,other,brick,refurbished
Yes,165500,1,Yes,Židovská,68,Yes,stare_mesto,bottom,brick,refurbished
No,579000,4,Yes,Strážna,164,No,nove_mesto,other,brick,refurbished
Yes,390000,2,Yes,Pribinova,93,Yes,stare_mesto,other,brick,refurbished
Yes,405000,2,No,Pribinova,81,Yes,stare_mesto,other,brick,refurbished
Yes,138000,3,Yes,Budatínska 15,73,Yes,petrzalka,other,panel,refurbished
Yes,107000,3,No,Hronská,67,Yes,podunajske_biskupice,other,panel,old
No,155000,2,Yes,Dobrovského,55,No,stare_mesto,top,brick,partial_refurbishment
Yes,305000,4,No,Trenčianska,203,No,ruzinov,top,panel,refurbished
Yes,92000,3,Yes,Bebravska,67,Yes,vrakuna,rest,panel,partial_refurbishment
Yes,111000,2,No,Rusovská cesta,40,Yes,petrzalka,other,brick,refurbished
Yes,134000,3,Yes,Furdekova,72,Yes,petrzalka,bottom,panel,partial_refurbishment
No,195000,3,Yes,Laurinská,60,No,stare_mesto,other,brick,refurbished
No,151000,4,Yes,Planét 9,88,No,ruzinov,bottom,brick,refurbished
Yes,145000,4,Yes,Karpatské námestie,87,Yes,raca,other,brick,old
No,73500,1,Yes,Drobného,33,Yes,dubravka,other,other,refurbished
Yes,170000,1,No,Hviezdoslavovo námestie,60,No,stare_mesto,top,brick,old
No,133000,3,Yes,Arménska,92,No,ruzinov,other,brick,refurbished
Yes,250000,4,No,Trenčianska,120,No,ruzinov,other,brick,refurbished
No,119500,2,No,Poloreckého,55,Yes,petrzalka,other,panel,partial_refurbishment
No,195000,3,No,Laurinská,60,No,stare_mesto,other,brick,partial_refurbishment
Yes,112900,2,No,Podunajská,51,Yes,podunajske_biskupice,other,brick,refurbished
No,95000,4,Yes,Hlbinná,40,No,podunajske_biskupice,rest,brick,refurbished
Yes,549000,4,Yes,Neuvedená,246,Yes,stare_mesto,top,brick,refurbished
Yes,134999.72,3,Yes,Landauova,68,Yes,dubravka,bottom,panel,refurbished
No,205000,2,No,Svoradova,65,Yes,stare_mesto,other,brick,refurbished
No,76000,1,No,Hlbinná,36,No,podunajske_biskupice,bottom,brick,refurbished
Yes,115200,2,Yes,Martinčekova,53,Yes,ruzinov,rest,panel,refurbished
No,370000,3,No,Námestie slobody,108,Yes,stare_mesto,other,brick,refurbished
Yes,100900,2,Yes,Na Piesku,54,Yes,ruzinov,other,brick,refurbished
No,359000,2,Yes,Pribinova,90,Yes,stare_mesto,other,other,refurbished
Yes,80890,1,No,Bajkalská,32,Yes,ruzinov,other,brick,refurbished
Yes,119000,2,Yes,Sibírska,54,Yes,nove_mesto,bottom,panel,partial_refurbishment
No,125000,2,Yes,Budyšínska,45,No,nove_mesto,other,brick,old
Yes,155000,3,Yes,Višňová 2,65,No,nove_mesto,top,brick,refurbished
Yes,122000,3,Yes,Matejkova,62,Yes,karlova_ves,top,panel,refurbished
Yes,260000,3,No,Mickiewiczova,105,Yes,stare_mesto,other,brick,refurbished
Yes,387965,4,Yes,Sokolská,108,Yes,stare_mesto,other,base,refurbished
Yes,115000,2,Yes,Martinčekova,45,Yes,ruzinov,other,panel,refurbished
Yes,132000,2,No,Kaštieľska,48,Yes,ruzinov,other,brick,refurbished
No,160000,2,Yes,Dobrovského 9,55,No,stare_mesto,top,brick,partial_refurbishment
Yes,135000,2,No,Exnárova,55,Yes,ruzinov,other,panel,refurbished
Yes,131000,3,Yes,Jasovská,82,Yes,petrzalka,other,panel,partial_refurbishment
Yes,285000,3,Yes,Špitálska 49,86,Yes,stare_mesto,other,brick,refurbished
Yes,133000,3,No,Jasovská,76,Yes,petrzalka,other,panel,refurbished
Yes,131000,3,No,Jasovská,76,Yes,petrzalka,other,panel,partial_refurbishment
No,138000,2,No,Ľadová,65,No,stare_mesto,rest,brick,refurbished
Yes,419990,4,Yes,Haanova,147,Yes,petrzalka,top,brick,refurbished
Yes,132600,3,Yes,Jasovská,76,Yes,petrzalka,other,panel,partial_refurbishment
Yes,287520,3,Yes,Drotárska cesta,80,No,stare_mesto,other,brick,refurbished
Yes,121900,3,No,Jána Smreka,73,Yes,devinska_nova_ves,bottom,panel,refurbished
Yes,178192,2,Yes,Pod Vachmajstrom,59,Yes,nove_mesto,bottom,other,refurbished
Yes,261178,3,Yes,Pod Vachmajstrom,78,Yes,nove_mesto,bottom,other,refurbished
Yes,327201,4,Yes,Pod Vachmajstrom,108,Yes,nove_mesto,other,other,refurbished
Yes,193790,2,Yes,Pod Vachmajstrom,64,Yes,nove_mesto,bottom,other,refurbished
Yes,285695,3,Yes,Pod Vachmajstrom,83,Yes,nove_mesto,other,other,refurbished
Yes,329791,4,Yes,Pod Vachmajstrom,119,Yes,nove_mesto,bottom,other,refurbished
Yes,117900,3,Yes,Púpavová,67,Yes,karlova_ves,bottom,panel,partial_refurbishment
No,99000,3,No,Čiernovodská,66,Yes,vrakuna,bottom,panel,partial_refurbishment
