id,price,area,listed,price_per_sqm,street,no_of_bedrooms,url_saved,district
6529420,119500,51,27.6.2018,2343,Dúbravka (Bratislava IV),2,https://www.topreality.sk/na-predaj-pekny-2-izbovy-byt-v-dubravke-na-gallayovej-ulici-r6529420.html,Bratislava IV
6529408,92500,38,27.6.2018,2434,Dúbravka (Bratislava IV),1,https://www.topreality.sk/krasne-prerobeny-moderne-zariadeny-1-izb-byt-v-dubravke-v-peknej-lokalite-r6529408.html,Bratislava IV
6529348,79990,38,27.6.2018,2105,Dúbravka (Bratislava IV),1,https://www.topreality.sk/super-cena-ponukame-na-predaj-pekny-1i-byt-v-dobrej-lokalite-dubravky-plnej-zelene-r6529348.html,Bratislava IV
6529270,129500,55,27.6.2018,2354,Petržalka (Bratislava V),2,https://www.topreality.sk/directreal-ponuka-skvele-byvanie-v-2i-byte-s-balkonom-tiptop-stav-bratislava-petrzalka-dvory-r6529270.html,Bratislava V
6529263,165e3,73,27.6.2018,2260,Rača (Bratislava III),3,https://www.topreality.sk/3-izbovy-byt-vo-viladome-v-raci-v-tichom-prostredi-r6529263.html,Bratislava III
6529236,84500,35,27.6.2018,2414,Dúbravka (Bratislava IV),1,https://www.topreality.sk/rezervovane-rekonstruovany-zariadeny-byt-v-dobrej-casti-dubravky-ticha-lokalita-pekny-vyhlad-r6529236.html,Bratislava IV
6529232,13e4,58,27.6.2018,2241,Ružinov (Bratislava II),2,https://www.topreality.sk/ak-premyslate-nad-kupou-nehnutelnosti-nepremeskajte-tuto-ponuku-2-izboveho-bytu-v-ruzinove-r6529232.html,Bratislava II
6529225,129900,77,27.6.2018,1687,Petržalka (Bratislava V),3,https://www.topreality.sk/rezervovane-priestranny-3-izbovy-byt-s-loggiou-v-8-poschodovom-dome-na-jasovskej-ulici-v-ba-petrzalka-r6529225.html,Bratislava V
6529219,149900,49,27.6.2018,3059,Petržalka (Bratislava V),2,https://www.topreality.sk/neprehliadnite-novy-a-dispozicne-dobre-rieseny-2i-byt-na-fuxovej-r6529219.html,Bratislava V
6529216,73900,25,27.6.2018,2956,Nové Mesto (Bratislava III),1,https://www.topreality.sk/exkluzivne-vam-ponukame-na-predaj-1i-atelierovy-byt-s-vysokymi-stropmi-ba-iii-stara-vajnorska-r6529216.html,Bratislava III
6529214,86e3,38,27.6.2018,2263,Dúbravka (Bratislava IV),1,https://www.topreality.sk/exkluzivne-ponukame-pekny-1i-byt-v-blizkosti-samotnej-prirody-38m2-dubravka-k-adlera-r6529214.html,Bratislava IV
6529210,154990,67,27.6.2018,2313,Ružinov (Bratislava II),4,https://www.topreality.sk/sikovny-4i-byt-komplet-zariadeny-v-ruzinove-s-moznostou-odkupenia-garaze-360vr-r6529210.html,Bratislava II
6529190,139900,53,27.6.2018,2639,Petržalka (Bratislava V),2,https://www.topreality.sk/2-izbovy-byt-s-balkonom-v-10-rocnej-novostavbe-udernicka-ul-petrzalka-r6529190.html,Bratislava V
6529005,152e3,67,27.6.2018,2268,Raketová ulica,3,https://www.topreality.sk/reality-holding-ponuka-na-predaj-bratislava-ruzinov-raketova-ulica-3-izbovy-byt-top-ponuka-r6529005.html,Bratislava II
6528151,77500,22,27.6.2018,3522,Ružinov (Bratislava II),1,https://www.topreality.sk/garsonka-na-chlumeckeho-22-m2-kompletna-rekonstrukcia-r6528151.html,Bratislava II
6528105,179900,79,26.6.2018,2277,Živnostenská,2,https://www.topreality.sk/predaj-79m2-2-izbovy-krasny-byt-v-starom-meste-r6528105.html,Bratislava I
6528098,249900,128,26.6.2018,1952,Ladislava Dérera,3,https://www.topreality.sk/predaj-128-m2-krasny-3-izbovy-byt-s-vyhladom-na-bratislavskych-kramaroch-r6528098.html,Bratislava III
6378529,14e4,40,26.6.2018,3589,Žltá,2,https://www.topreality.sk/predaj-2-izb-bytu-bratislava-viladomy-slnecnice-petrzalka-zlta-ulica-cislo-4-r6378529.html,Bratislava V
6528067,129900,48,26.6.2018,2706,Ružinov (Bratislava II),1,https://www.topreality.sk/slnecny-velkometrazny-1-5-izbovy-byt-55m2-v-lukrativnej-lokalite-nivy-ruzinov-r6528067.html,Bratislava II
6527998,155e3,82,26.6.2018,1890,na piesku /A,3,https://www.topreality.sk/novostavba-3-izbovy-byt-r6527998.html,Bratislava II
